ZipCode,LowValue,HighValue,MoveIn,MoveOut
90620,896783.1377286848,1006191.5774939592,705,932
90621,967342.1141506248,1082902.566700439,663,823
90623,1137261.0412040465,1272821.3668887245,313,393
90630,1048545.9752788665,1175201.3114259874,1012,1197
90631,875242.2152708659,981849.1397696573,1338,1537
90680,727269.716930746,814380.0961367278,389,433
90720,1515375.5016856638,1697504.896452079,816,747
90740,1611063.3762243134,1808121.183022854,1056,903
92602,2169723.9819004526,2424256.913021619,663,725
92603,2676627.020038785,3014224.305106658,449,474
92604,1332930.7778191292,1491937.8489021214,431,657
92606,1443140.933572711,1609650.3590664272,521,618
92610,1175826.045170591,1312468.5247477174,272,346
92612,1251981.574996588,1399310.0859833492,1016,1150
92614,1306678.7035666716,1458368.062749741,837,914
92617,726465.5172413794,818394.9096880131,313,417
92618,1761839.1307024565,1968846.7031952227,2456,2292
92620,1676885.9338061465,1874635.4609929079,1285,1380
92624,2034469.0526315789,2281546.947368421,200,209
92625,4341507.521000195,4926937.878491893,412,312
92626,1425186.2660117499,1596783.10700183,1133,1427
92627,1473809.2403376277,1654799.5557529987,896,1202
92629,2063109.9114872094,2322588.36689038,833,862
92630,1119973.9892984543,1252985.8303606817,1104,1549
92637,611048.1047343584,684284.9748820217,1021,730
92646,1294065.923486192,1449211.3503927034,1155,1418
92647,1222462.5992143028,1370476.6295197627,1280,1446
92648,1716573.933897924,1923085.363111744,1431,1498
92649,1646262.198915652,1844260.2435339082,864,896
92651,3398763.4022162324,3868045.722272137,867,617
92653,1489371.8274111676,1666359.944623904,499,591
92655,936778.7234042553,1055316.3120567375,76,75
92656,1069958.5806621818,1195107.8353779186,1107,1500
92657,4854730.310880829,5699145.85492228,344,210
92660,3372034.996568964,3787039.701990001,1209,1116
92661,4248383.419689119,4883632.700057571,122,127
92662,4226933.333333333,4787499.5670995675,98,80
92663,3061916.973354924,3460329.0151626673,654,552
92672,1860859.2407869217,2086642.65262769,1085,1114
92673,1750521.729845168,1958883.182060865,703,628
92675,1533351.1443661973,1719203.8732394367,644,727
92676,1413732.786885246,1621172.1311475409,19,30
92677,1571491.2113366944,1758328.4734523322,1723,1762
92679,1710622.992631778,1917289.6278103155,617,967
92683,1031392.404362509,1157542.766982229,810,1099
92688,1016088.7496131229,1136490.8696997834,678,1230
92691,1149302.9390587157,1285720.6257773123,773,1026
92692,1258359.9053372361,1407700.3176184841,994,1054
92694,1453557.7044735653,1624436.5115228198,951,980
92701,681244.065412344,766238.614383682,367,424
92703,756791.3458012468,852172.3505683902,232,383
92704,811453.6229812776,910901.2433900243,379,642
92705,1593516.0287718675,1787955.598969896,823,1011
92706,1052038.2186773014,1178145.3971419076,205,357
92707,795166.5797977692,892920.2543521317,333,522
92708,1281859.7014925373,1435787.9975124379,776,860
92780,1034014.7817460317,1158132.638888889,601,895
92782,1479504.49704142,1651640.9467455621,547,650
92801,805876.2203205978,904767.5063275882,698,1053
92802,896963.6331693605,1004593.6401967674,395,590
92804,870209.8227259518,976319.3112467306,922,1414
92805,837364.3903299806,940768.3959767072,907,1340
92806,937224.3600468462,1048308.3486699013,660,844
92807,1208497.3890339425,1355535.683202785,607,835
92808,1242777.1940667492,1389609.7033374535,373,515
92821,1086026.1317272198,1217963.2795803382,930,1145
92823,1279977.1460423635,1433310.4793756967,192,166
92831,1103122.7442207308,1235910.9619686801,666,802
92832,890427.1321462044,998295.2202436739,483,570
92833,1058872.087378641,1186691.0194174757,889,1171
92835,1337318.947087119,1497202.699091395,576,608
92840,904791.0193255021,1015461.8226600986,394,640
92841,968591.564927858,1085703.1869351515,295,457
92843,882761.8455587788,989973.2007183313,216,405
92844,885542.2434367542,992363.9618138425,183,238
92845,1048979.2130660727,1173415.5530809206,310,384
92861,2396093.207734259,2682342.0922161625,88,82
92865,994479.725976671,1111985.1879281614,241,508
92866,1096000.6379585327,1230606.6985645932,203,284
92867,1284340.3551860948,1440743.6236538824,527,812
92868,866523.4580917237,970899.0511333685,490,648
92869,1255752.12647929,1408387.9437869822,459,576
92870,1038685.8217374953,1163535.6901090636,894,1104
92886,1483202.9988465975,1661254.5377284042,895,1128
92887,1511194.2413162705,1690545.7038391226,463,513
